store_id,timezone_str
8139926242460185114,Asia/Beirut
5415949628544298339,America/Boise
3408529570017053440,America/Denver
9055649751952768824,America/Denver
4428372089193592098,America/Denver
2689959411535120475,America/Denver
8297996490922435741,America/Denver
1050565545391667097,America/Denver
3483930781272060942,America/Denver
1740222068509982431,America/Denver
2859012985063828777,America/Denver
3828361964081888905,America/Denver
5789640881970906690,America/Denver
5723059602183693938,America/Denver
4378293333107164443,America/Denver
8778651700128892847,America/Denver
6666934422919388376,America/Denver
6163165919739157695,America/Denver
2190599106298424769,America/Denver
2225219938220197351,America/Denver
5925159570709352168,America/Denver
8175229951397380687,America/Denver
4292660491880158081,America/Denver
6733800122189753654,America/Denver
7463734423358941330,America/Denver
7622852966095963272,America/Denver
6160914795278193489,America/Denver
338646328301262317,America/Denver
8640972490360190883,America/Denver
9058019541301770690,America/Denver
4381311595575895588,America/Denver
2248905253110987612,America/Denver
7968584600264951543,America/Denver
1655838063357762151,America/Denver
2118894053982561987,America/Denver
8471700099357897929,America/Denver
8372524645314576802,America/Denver
5552924050444994427,America/Denver
6921452823375303736,America/Denver
4529169694434968721,America/Denver
2787020355835455025,America/Denver
8971475435584615792,America/Denver
1236888576653956449,America/Denver
2739250325777580694,America/Denver
3114628966267234599,America/Denver
2958221658060682960,America/Denver
7972619999376644068,America/Denver
7786277334741505527,America/Denver
7263129728113095915,America/Denver
1501752248305324318,America/Denver
7959626024093666288,America/Denver
5670977555241596822,America/Denver
1801116365065971671,America/Denver
5938218521494275420,America/Denver
7506757311218522218,America/Denver
7902319769656483014,America/Denver
5365891606775901565,America/Denver
7731628114272740713,America/Denver
2870952845845047203,America/Denver
4684120169809436364,America/Denver
8910898981588710522,America/Denver
8523889910428063033,America/Denver
8750493480383302874,America/Denver
8783340632782870568,America/Denver
3547443835360588068,America/Denver
8959583929144879812,America/Denver
2974109706633403181,America/Denver
9200325206334396031,America/Denver
7665740608437227886,America/Denver
5447095752406471819,America/Denver
246505907494256090,America/Denver
8803894796084290585,America/Denver
4474327339142902549,America/Denver
1541695097704177827,America/Denver
5168885062800076167,America/Denver
8285346587034743878,America/Denver
5181171500058101260,America/Denver
6575266446222613262,America/Denver
1678415024862242015,America/Denver
9111087628624425255,America/Denver
6204284763418530336,America/Denver
3881760078520801429,America/Denver
7292116609046500092,America/Denver
4652595129999264905,America/Denver
4490168262699716549,America/Denver
7250561679095390438,America/Denver
27099145190781701,America/Denver
7700426430210091660,America/Denver
7689815792422819661,America/Denver
534942062508143963,America/Denver
4186055994645210040,America/Denver
761150016862176214,America/Denver
9007766313027524324,America/Denver
7131983716943940560,America/Denver
2418585462528908688,America/Denver
2680489839325406534,America/Denver
2921770204752359016,America/Denver
4714225106250340108,America/Denver
8445695079583663910,America/Denver
8238018223692779431,America/Denver
2217565331202925858,America/Denver
8445372164064960268,America/Denver
8316894844897055929,America/Denver
3676139268965286790,America/Denver
4301772298177454840,America/Denver
8281805787549037440,America/Denver
8018186541496678058,America/Denver
4382118344072425968,America/Denver
6833286636551589412,America/Denver
2599611321049050132,America/Denver
5172683340926528202,America/Denver
2444571783856717430,America/Denver
464344448013588853,America/Denver
5531489951592523305,America/Denver
7717660522305873406,America/Denver
8442155930538555912,America/Denver
